"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
323,"There's Something About Mary",1998,176484651,193400000,369884651
324,"Gone Girl",2014,167767189,200800000,368567189
325,"Raiders of the Lost Ark",1981,225686079,141766000,367452079
326,"The Golden Compass",2007,70107728,297154830,367262558
327,"Xi Hong Shi Shou Fu",2018,0,366961920,366961920
328,"Penguins of Madagascar",2014,83350911,283591620,366942531
329,"Hitch",2005,177784257,189000000,366784257
330,"Die Hard: With a Vengeance",1995,100012499,266089167,366101666
331,"Jurassic Park III",2001,181166115,184733885,365900000
332,"Terminator Salvation",2009,125322469,240169323,365491792
333,"True Lies",1994,146282411,219017589,365300000
334,"Toy Story",1995,191796233,172749283,364545516
335,"Notting Hill",1999,116089678,247638407,363728085
336,"The Nun",2018,117450119,246226328,363676447
337,"A Bug's Life",1998,162798565,200296754,363095319
338,"Fast & Furious",2009,155064265,208000000,363064265
339,"Ocean's Twelve",2004,125531634,237457442,362989076
340,"Alvin and the Chipmunks",2007,217326974,145278059,362605033
341,"Planet of the Apes",2001,180011740,182200000,362211740
342,"The Hangover 3",2013,112200072,249800000,362000072
343,"The World is Not Enough",1999,126930660,234800000,361730660
344,"Zhuo yao ji 2",2018,706153,360977662,361683815
345,"Kimi no na wa",2016,5000181,356023831,361024012
346,"Zhuo yao ji",2015,32766,359462825,359495591
347,"Batman Begins",2005,205343774,153798948,359142722
348,"Home Alone 2: Lost in New York",1992,173585516,185409334,358994850
349,"Minority Report",2002,132024714,226800000,358824714
350,"The Flintstones",1994,130531208,227968792,358500000
351,"Top Gun",1986,179800601,176999033,356799634
352,"Goldeneye",1995,106429941,250000000,356429941
353,"American Beauty",1999,130058047,226200000,356258047
354,"Dinosaur",2000,137748063,218400000,356148063
355,"Catch Me if You Can",2002,164606800,191005491,355612291
356,"X-Men: First Class",2011,146408305,209000000,355408305
357,"Night at the Museum: Secret of the Tomb",2014,113746621,240010000,353756621
358,"The Fugitive",1993,183875760,169839557,353715317
